site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,weekly_approved_hours,approved_days_per_week,invalid_time_windows,geometry_wkt
OS085,Justice Innovation Inc. d/b/a Center for Justice Innovation (Brownsville Community Justice Center),WATKINS STREET,Brooklyn,BELMONT AVENUE,DEAD END,"mon,tue,wed,thu,fri",approvedFull,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,,,,,03/18/2024,12/18/2024,23C,1,128.626728207,30.0,5,0,"LINESTRING (-73.907638 40.668831, -73.907548 40.668485)"
OS086,Sharon Street Block Association,SHARON STREET,Brooklyn,OLIVE STREET,MORGAN AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,02/01/2024,12/31/2024,23C,1,855.752080229,84.0,7,0,"LINESTRING (-73.938696 40.715324, -73.935614 40.715191)"
OS087,Troutman Street Open Street Coalition,TROUTMAN STREET,Brooklyn,IRVING AVENUE,ST NICHOLAS AVENUE,"sat,sun",approvedFull,,,,,,,,,,,10:00,22:00,10:00,22:00,04/22/2024,10/31/2024,23C,2,1293.297443315,24.0,2,0,"MULTILINESTRING ((-73.924586 40.704825, -73.922863 40.706576), (-73.922863 40.706576, -73.921766 40.707652))"
OS088,Public School 273Q,88 AVENUE,Queens,102 STREET,104 STREET,"mon,tue,wed,thu,fri",approvedFullSchools,11:00,13:45,11:00,13:45,11:00,13:45,11:00,13:45,11:00,13:45,,,,,09/05/2024,06/27/2025,23C,1,511.054922439,13.75,5,0,"LINESTRING (-73.844701 40.693726, -73.842975 40.694217)"
OS089,JAMROCK JERK LLC,141 STREET,Queens,109 AVENUE,LAKEWOOD AVENUE,"fri,sat,sun",approvedFull,,,,,,,,,16:00,23:59,12:00,23:59,12:00,23:59,04/27/2024,10/31/2024,23C,1,181.755126001,31.95,3,0,"LINESTRING (-73.805722 40.687827, -73.805292 40.68745)"
OS090,HOOD WORKS INC,156 STREET,Queens,108 AVENUE,107 AVENUE,"mon,tue,wed,thu,fri,sat",approvedLimited,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,11:00,17:00,,,06/01/2024,09/28/2024,23C,1,660.467841516,36.0,6,0,"LINESTRING (-73.797481 40.696002, -73.796323 40.694418)"
OS091,Downtown Jamaica Partnership,165 STREET,Queens,JAMAICA AVENUE,89 AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedFull,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,05/01/2024,12/31/2024,23C,1,913.593477042,42.0,7,0,"LINESTRING (-73.796317 40.707723, -73.794895 40.705461)"
OS092,Kesher Bridging Communities,READS LANE,Queens,CORNAGA AVENUE,MEEHAN AVENUE,"fri,sat,sun",approvedLimited,,,,,,,,,15:30,19:00,08:00,20:00,12:00,16:00,01/01/2024,12/31/2024,23C,8,1948.648683554,19.5,3,0,"MULTILINESTRING ((-73.741729 40.602296, -73.742221 40.602833), (-73.738576 40.599683, -73.739151 40.600224), (-73.740856 40.601564, -73.741035 40.601658, -73.741203 40.601765, -73.741359 40.601884, -73.7415 40.602013, -73.741623 40.602151, -73.741729 40.602296), (-73.740299 40.601219, -73.740856 40.601564), (-73.739723 40.600754, -73.740299 40.601219), (-73.739151 40.600224, -73.739723 40.600754), (-73.742609 40.603343, -73.74309 40.603853), (-73.742307 40.602925, -73.742288 40.602976), (-73.742288 40.602976, -73.742609 40.603343))"
OS093,PS 134Q: Langston Hughes School,109 AVENUE,Queens,203 STREET,204 STREET,"mon,tue,wed,thu,fri",approvedFullSchools,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,10:00,14:00,,,,,09/05/2024,06/27/2025,23C,1,259.277500616,20.0,5,0,"LINESTRING (-73.755417 40.707964, -73.754525 40.708177)"
OS094,LaGuardia Community College,29 STREET,Queens,47 AVENUE,SKILLMAN AVENUE,"mon,tue,wed,thu,fri",approvedFull,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,05/01/2024,11/01/2024,23C,1,606.926158791,60.0,5,0,"LINESTRING (-73.938258 40.745068, -73.93857 40.74342)"
OS095,Our World Neighborhood Charter School,37 STREET,Queens,36 AVENUE,35 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,10:00,13:15,10:00,13:15,10:00,13:15,10:00,13:15,10:00,13:15,,,,,09/05/2024,06/27/2025,23C,1,660.305742571,16.25,5,0,"LINESTRING (-73.923704 40.75588, -73.924954 40.754337)"
OS096,31st Ave Open Street Collective,31 AVENUE,Queens,33 STREET,35 STREET,"sat,sun",approvedFull,,,,,,,,,,,12:00,20:00,12:00,20:00,04/06/2024,12/29/2024,23C,2,520.2401152919999,16.0,2,0,"MULTILINESTRING ((-73.92188 40.763574, -73.921081 40.763199), (-73.921081 40.763199, -73.920283 40.762823))"
OS097,Salsa Stories,EAST 115 STREET,Manhattan,PLEASANT AVENUE,1 AVENUE,sat,approvedFull,,,,,,,,,,,17:00,21:00,,,07/20/2024,08/24/2024,23C,1,713.716691974,4.0,1,0,"LINESTRING (-73.935912 40.795312, -73.933647 40.794377)"
OS098,The Young Women’s Leadership School of Astoria,NEWTOWN AVENUE,Queens,23 STREET,CRESCENT STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,,,,,03/11/2024,06/27/2025,23C,1,464.245154284,45.0,5,0,"LINESTRING (-73.924783 40.771355, -73.923634 40.770428)"
OS099,The Young Women’s Leadership School of Astoria,23 STREET,Queens,NEWTOWN AVENUE,ASTORIA BOULEVARD,"mon,tue,wed,thu,fri",approvedFullSchools,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,10:00,14:30,,,,,04/01/2024,06/27/2025,23C,1,180.316548821,22.5,5,0,"LINESTRING (-73.924441 40.771776, -73.924783 40.771355)"
OS100,Global Community Charter School,WEST 142 STREET,Manhattan,CHISUM PLACE,5 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,,,,,09/05/2024,06/27/2025,23C,1,471.518331073,22.5,5,0,"LINESTRING (-73.934454 40.817189, -73.93596 40.817793)"
OS101,I Challenge Myself,RAE STREET,Bronx,ST ANNS AVENUE,DEAD END,sat,approvedFull,,,,,,,,,,,12:00,15:00,,,05/04/2024,05/25/2024,23C,1,273.432501832,3.0,1,0,"LINESTRING (-73.912352 40.81751, -73.911381 40.817373)"
OS102,I Challenge Myself,RAE STREET,Bronx,DEAD END,ST ANNS AVENUE,"mon,tue,wed,thu,fri",approvedLimited,14:00,16:00,14:00,16:00,14:00,16:00,14:00,16:00,14:00,16:00,,,,,07/08/2024,08/02/2024,23C,1,273.432501832,10.0,5,0,"LINESTRING (-73.912352 40.81751, -73.911381 40.817373)"
