"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"200","Troutman Street Open Street Coalition","TROUTMAN STREET","Brooklyn","IRVING AVENUE","ST NICHOLAS AVENUE","sat,sun","approvedFull",,,,,,,,,,,"10:00","22:00","10:00","22:00","04/22/2024","10/31/2024","496.528683802","0044904","0044904","23C","MULTILINESTRING ((-73.92286348621984 40.706575593983075, -73.92176576884313 40.70765242245752))"
"201","Public School 273Q","88 AVENUE","Queens","102 STREET","104 STREET","mon,tue,wed,thu,fri","approvedFullSchools","11:00","13:45","11:00","13:45","11:00","13:45","11:00","13:45","11:00","13:45",,,,,"09/05/2024","06/27/2025","511.054922439","0053049","0053049","23C","MULTILINESTRING ((-73.84470105325589 40.69372569521913, -73.84297466634008 40.69421660032193))"
"202","JAMROCK JERK LLC","141 STREET","Queens","109 AVENUE","LAKEWOOD AVENUE","fri,sat,sun","approvedFull",,,,,,,,,"16:00","23:59","12:00","23:59","12:00","23:59","04/27/2024","10/31/2024","181.755126001","0055647","0055647","23C","MULTILINESTRING ((-73.80572163685346 40.687826814713915, -73.80529160225845 40.6874503567212))"
"203","HOOD WORKS INC","156 STREET","Queens","108 AVENUE","107 AVENUE","mon,tue,wed,thu,fri,sat","approvedLimited","10:00","16:00","10:00","16:00","10:00","16:00","10:00","16:00","10:00","16:00","11:00","17:00",,,"06/01/2024","09/28/2024","660.467841516","0060037","0060037","23C","MULTILINESTRING ((-73.79748122395601 40.696002128130765, -73.7963233593598 40.69441792491311))"
"204","Downtown Jamaica Partnership","165 STREET","Queens","JAMAICA AVENUE","89 AVENUE","mon,tue,wed,thu,fri,sat,sun","approvedFull","12:00","18:00","12:00","18:00","12:00","18:00","12:00","18:00","12:00","18:00","12:00","18:00","12:00","18:00","05/01/2024","12/31/2024","913.593477042","0060112","0060112","23C","MULTILINESTRING ((-73.79631660911042 40.707723094187756, -73.79489532788946 40.70546074647533))"
"205","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","238.380117767","0061952","0061952","23C","MULTILINESTRING ((-73.74172925009412 40.60229646816876, -73.7422212556127 40.602832647282256))"
"206","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","253.75461537","0061997","0061997","23C","MULTILINESTRING ((-73.73857551171513 40.599682746564305, -73.73915126556885 40.600223605151974))"
"207","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","365.203622545","0062003","0062003","23C","MULTILINESTRING ((-73.74085553909852 40.601563774943685, -73.74103479536834 40.601657863433545, -73.74120343222454 40.6017649520372, -73.74135906031331 40.601883934980876, -73.74149963305324 40.60201335426471, -73.7416234474319 40.60215149871765, -73.74172925009412 40.60229646816876))"
"208","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","199.156758827","0062006","0062006","23C","MULTILINESTRING ((-73.74029877895575 40.6012191961911, -73.74085553909852 40.601563774943685))"
"209","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","233.007775564","0062008","0062008","23C","MULTILINESTRING ((-73.73972262865874 40.60075423889453, -73.74029877895575 40.6012191961911))"
