site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,program_type,weekly_approved_hours,approved_days_per_week,invalid_time_records,approved_start_date,approved_end_date,listed_period_days,approved_open_days_over_period,total_approved_hours,total_hours_flag,geometry_wkt
OS043,North Brooklyn Open Streets Community Coalition (NBK OSCC),BERRY STREET,Brooklyn,BROADWAY,NORTH 12 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,02/01/2024,12/31/2024,23C,19,4808.666024794001,Limited Local Access,84.0,7,0,2024-02-01,2024-12-31,335,335,4020.0,ok,"MULTILINESTRING ((-73.965369 40.711006, -73.965492 40.710482), (-73.964463 40.712459, -73.964958 40.711678), (-73.964071 40.713079, -73.964463 40.712459), (-73.963601 40.713826, -73.964071 40.713079), (-73.963202 40.714455, -73.963601 40.713826), (-73.962778 40.715107, -73.963202 40.714455), (-73.962289 40.71558, -73.962778 40.715107), (-73.961912 40.715929, -73.962289 40.71558), (-73.961423 40.716384, -73.961912 40.715929), (-73.960792 40.716973, -73.961423 40.716384), (-73.960197 40.717528, -73.960792 40.716973), (-73.959606 40.718081, -73.960197 40.717528), (-73.959008 40.718636, -73.959606 40.718081), (-73.958416 40.719189, -73.959008 40.718636), (-73.957821 40.719741, -73.958416 40.719189), (-73.957225 40.720293, -73.957821 40.719741), (-73.95663 40.720846, -73.957225 40.720293), (-73.956038 40.721398, -73.95663 40.720846), (-73.965216 40.711261, -73.965369 40.711006), (-73.965164 40.711348, -73.965216 40.711261), (-73.964993 40.711622, -73.965046 40.711538), (-73.964958 40.711678, -73.964993 40.711622), (-73.965106 40.711434, -73.965164 40.711348), (-73.965046 40.711538, -73.965106 40.711434))"
OS044,Pizzette,GRAHAM AVENUE,Brooklyn,SCHOLES STREET,MESEROLE STREET,"sat,sun",approvedFull,,,,,,,,,,,11:00,00:00,11:00,00:00,05/01/2024,11/16/2024,23C,1,260.957236383,Full Closure,26.0,2,0,2024-05-01,2024-11-16,200,57,741.0,ok,"LINESTRING (-73.943323 40.70807, -73.94344 40.708781)"
OS045,PS3 Charrette School,BEDFORD STREET,Manhattan,CHRISTOPHER STREET,GROVE STREET,"mon,tue,wed,thu,fri",approvedFullSchools,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,,,,,09/05/2024,06/27/2025,23C,1,277.589105013,Full Closure: Schools,37.5,5,0,2024-09-05,2025-06-27,296,212,1590.0,ok,"LINESTRING (-74.005463 40.732448, -74.005862 40.733147)"
OS046,Meatpacking District Management Association,GANSEVOORT STREET,Manhattan,HUDSON STREET,10 AVENUE,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,22:00,04/01/2024,12/31/2024,23C,3,1188.92891824,Full Closure,44.0,5,0,2024-04-01,2024-12-31,275,195,1716.0,ok,"MULTILINESTRING ((-74.00645 40.739404, -74.008051 40.739375), (-74.005918 40.739417, -74.00645 40.739404), (-74.00539 40.739412, -74.005918 40.739417), (-74.008051 40.739375, -74.008258 40.739376), (-74.008258 40.739376, -74.00968 40.73938))"
OS047,Meatpacking District Management Association,LITTLE WEST 12 STREET,Manhattan,9 AVENUE,WASHINGTON STREET,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,22:00,04/01/2024,12/31/2024,23C,1,507.137913625,Full Closure,44.0,5,0,2024-04-01,2024-12-31,275,195,1716.0,ok,"LINESTRING (-74.006333 40.739631, -74.00794 40.740297)"
OS048,Meatpacking District Management Association,WEST 13 STREET,Manhattan,9 AVENUE,WASHINGTON STREET,"wed,thu,fri,sat,sun",approvedFull,,,,,14:00,22:00,14:00,22:00,14:00,22:00,12:00,22:00,12:00,22:00,04/01/2024,12/31/2024,23C,1,512.377481829,Full Closure,44.0,5,0,2024-04-01,2024-12-31,275,195,1716.0,ok,"LINESTRING (-74.005864 40.740261, -74.007482 40.740942)"
OS049,RDK Restaurant Corp dba Bistro Les Amis,SPRING STREET,Manhattan,THOMPSON STREET,WEST BROADWAY,"mon,tue,wed,thu,fri,sat,sun",approvedFull,10:00,22:00,10:00,22:00,10:00,22:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,22:00,03/01/2024,12/31/2024,23C,1,224.509148057,Full Closure,87.0,7,0,2024-03-01,2024-12-31,306,306,3803.0,ok,"LINESTRING (-74.001934 40.724552, -74.002619 40.72488)"
OS050,Via Carota,GROVE STREET,Manhattan,BLEECKER STREET,7 AVENUE SOUTH,"fri,sat,sun",approvedFull,,,,,,,,,09:00,00:00,09:00,00:00,09:00,23:00,03/15/2024,12/29/2024,23C,1,283.528755719,Full Closure,44.0,3,0,2024-03-15,2024-12-29,290,126,1848.0,ok,"LINESTRING (-74.003976 40.732915, -74.003032 40.733215)"
OS051,Jeffrey's Grocery,WAVERLY PLACE,Manhattan,7 AVENUE SOUTH,CHRISTOPHER STREET,"thu,fri,sat,sun",approvedFull,,,,,,,11:00,23:00,11:00,23:00,09:00,23:00,09:00,23:00,03/14/2024,10/28/2024,23C,3,630.9488957379999,Full Closure,52.0,4,0,2024-03-14,2024-10-28,229,132,1716.0,ok,"MULTILINESTRING ((-74.001389 40.734483, -74.001574 40.735128), (-74.001205 40.733843, -74.001389 40.734483), (-74.001574 40.735128, -74.001693 40.735535))"
OS052,JST Restaurant Corp,JANE STREET,Manhattan,HUDSON STREET,8 AVENUE,"thu,fri,sat,sun",approvedFull,,,,,,,17:00,23:00,17:00,23:00,11:00,23:00,11:00,22:00,06/01/2024,11/03/2024,23C,1,392.484878283,Full Closure,35.0,4,0,2024-06-01,2024-11-03,156,90,793.0,ok,"LINESTRING (-74.004175 40.738134, -74.005592 40.738139)"
