cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
5614,892a1076123ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,149,2314.0,413.0,0.8235,2073.2,tract,tract,36047070201,1,1.0,1901.0,2727.0
5615,892a107612bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,202,2179.2,366.8,0.7422,1842.5,mixed,tract,36047070201,2,1.0,1812.4,2546.0
5616,892a1076133ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,126,2312.4,677.6,0.8221,2069.2,mixed,block_group,360470702012,3,1.0,1634.8,2990.0
5617,892a107613bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,243,2327.4,428.0,0.8304,2096.1,mixed,tract,36047070201,2,1.0,1899.4,2755.4
5618,892a1076143ffff,Brooklyn,BK1801,Flatlands,382,1659.3,143.3,0.2365,591.1,mixed,block_group,360470688002,3,1.0,1516.0,1802.6
5619,892a1076147ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,376,1978.0,215.0,0.5605,1361.9,block_group,block_group,360470686001,2,1.0,1763.0,2193.0
5620,892a107614bffff,Brooklyn,BK1801,Flatlands,482,2609.4,697.0,0.9199,2387.3,mixed,tract,36047068200,3,1.0,1912.4,3306.4
5621,892a107614fffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,488,2030.0,186.0,0.6051,1481.3,mixed,block_group,360470670002,4,1.0,1844.0,2216.0
5622,892a1076153ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,229,1760.2,199.3,0.3416,823.0,mixed,tract,36047069602,4,1.0,1560.9,1959.5
5623,892a1076157ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,326,2182.6,119.8,0.7442,1849.2,mixed,block_group,36047069800,4,1.0,2062.8,2302.4
5624,892a107615bffff,Brooklyn,BK1801,Flatlands,379,1676.7,239.2,0.2529,631.5,mixed,block_group,360470690002,3,1.0,1437.5,1915.9
5625,892a1076163ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,148,2117.4,163.9,0.6902,1695.9,block_group,block_group,360470698002,2,1.0,1953.5,2281.3
5626,892a1076167ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,557,1470.6,732.4,0.1339,339.7,mixed,block_group,360470702015,2,1.0,738.2,2203.0
5628,892a107616fffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,15,1463.0,739.0,0.1318,334.5,block_group,block_group,360470702015,1,1.0,724.0,2202.0
5629,892a1076173ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,35,2283.7,298.3,0.8077,2024.2,mixed,tract,36047070201,2,1.0,1985.4,2582.0
5630,892a1076177ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,460,2280.2,396.1,0.8062,2018.9,mixed,tract,36047070201,3,1.0,1884.1,2676.3
5631,892a107617bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,206,1911.4,142.9,0.4893,1196.3,block_group,block_group,360470670002,2,1.0,1768.5,2054.3
5632,892a107618bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,256,1760.1,241.8,0.3412,822.4,mixed,tract,36047070000,5,1.0,1518.3,2001.9
5633,892a107618fffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,279,1857.9,207.4,0.4414,1068.8,mixed,tract,36047070601,2,1.0,1650.5,2065.3
5634,892a107619bffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,3,1513.0,863.0,0.1529,387.7,block_group,block_group,360470696023,1,1.0,650.0,2376.0
