neighborhood,zone,percent_damaged,centroid_lon,centroid_lat,polygon_wkt
al Aziziyeh,Inner,12.4579,37.151122318300054,36.20555608753339,"POLYGON((37.15193070000004 36.203355300000055,37.15183670000005 36.202473800000064,37.15183494300004 36.20246265800006,37.15146180000005 36.200096400000064,37.151274552000075 36.19839391800008,37.14864747800004 36.198690741000064,37.148628613000085 36.19869205200007,37.14901478300004 36.20111888200006,37.149222154000086 36.20244864700004,37.14922167600008 36.20244861400005,37.14947100000006 36.20413590000004,37.14776590000008 36.20422240000005,37.147648177000065 36.204243887000075,37.14784137000004 36.20591822100005,37.14811341200004 36.20683928400007,37.148268133000045 36.207363119000036,37.149506992000056 36.21155754400007,37.14971914800009 36.212024288000066,37.149967366000055 36.21252467900007,37.15188822600004 36.21211167300004,37.15188645300009 36.212104820000036,37.15664829100007 36.21113826200008,37.15641435100008 36.21051629300007,37.15581256400009 36.208916342000066,37.15552702900004 36.20815491500008,37.15402796800004 36.20732210300008,37.15310982700004 36.20570129400005,37.15276529600004 36.20453576300008,37.15228394700006 36.203815527000074,37.15193070000004 36.203355300000055))"
Bagdad Train Station,Inner,0.330033,37.15071853665631,36.21641162262506,"POLYGON((37.152600292000045 36.214864995000084,37.15188822600004 36.21211167300004,37.14932626700005 36.212662514000044,37.14931663500005 36.21267589100006,37.14906638300005 36.21271838700005,37.14805552100006 36.21289004200008,37.14589667600006 36.21333862700004,37.14360640600006 36.21171728600007,37.14289209100008 36.21129580300004,37.14306283800005 36.211926884000036,37.14327620800009 36.21239359000003,37.14396007300007 36.212902703000054,37.14536496100004 36.21386645700005,37.14663081400005 36.21473479900004,37.14781511500007 36.21554717100008,37.14843509200006 36.21597243200006,37.149119443000075 36.21614346000007,37.14963888500006 36.21629048300008,37.150128830000085 36.21644112700005,37.15076637000004 36.21677389300004,37.15199263900007 36.21749678700007,37.153826149000054 36.218782367000074,37.15449710900009 36.21926006600006,37.15494100600006 36.219666852000046,37.15796867600005 36.22403051200007,37.15842080800007 36.22451410700006,37.158795447000045 36.22501883000007,37.15913671900006 36.22484588200007,37.16027886000006 36.22377988300008,37.15662400800005 36.21924939000007,37.15306433400008 36.216394036000054,37.152600292000045 36.214864995000084))"
Ourubeh,Inner,0.473934,37.15466483862506,36.21405710587507,"POLYGON((37.152600292000045 36.214864995000084,37.15362346000006 36.21469843300008,37.155003547000035 36.21517432500008,37.15669296500005 36.215102941000055,37.158263409000085 36.21450807600007,37.15664829100007 36.21113826200008,37.15188645300009 36.212104820000036,37.152600292000045 36.214864995000084))"
Al Jamiliyah,Inner,1.16959,37.143799609083395,36.20498675941673,"POLYGON((37.14363283700004 36.20252125500008,37.143367400000045 36.204084300000034,37.14166330000006 36.204302200000086,37.14158683800008 36.20420590500004,37.14158338700008 36.20422880400008,37.136776876000056 36.20508541000004,37.14289209100008 36.21129580300004,37.14693717400007 36.207583844000055,37.148268133000045 36.207363119000036,37.14762721800008 36.20406224200008,37.14762721800008 36.20258697600008,37.14363283700004 36.20252125500008))"
al Fayd,Inner,1.92308,37.13835222833339,36.20232346333339,"POLYGON((37.14006267800005 36.20449984500004,37.13987250000008 36.20268320000008,37.13968210000007 36.202332400000046,37.139467600000046 36.202035600000045,37.13917710000004 36.20192240000006,37.138793700000065 36.20110620000008,37.13880864500004 36.200690860000066,37.138394909000056 36.20044546100007,37.13468295000007 36.20001715800004,37.13444500400004 36.20256318100007,37.136776876000056 36.20508541000004,37.14006267800005 36.20449984500004))"
Al Mashariqah,Inner,11.6379,37.14418378428578,36.20003101185721,"POLYGON((37.146485029000075 36.19873314800009,37.14108370000008 36.198446714000056,37.138394909000056 36.20044546100007,37.14184512800006 36.20249179800004,37.14762721800008 36.20258697600008,37.14736547700005 36.198779838000064,37.146485029000075 36.19873314800009))"
Bustan az Zahrah,Inner,15.2174,37.13811413280007,36.19905109700005,"POLYGON((37.14108370000008 36.198446714000056,37.13532540500006 36.197899438000036,37.13468295000007 36.20001715800004,37.138394909000056 36.20044546100007,37.14108370000008 36.198446714000056))"
al Kallasah,Inner,36.8607,37.14644632240007,36.19286859216006,"POLYGON((37.14704690000008 36.19536430000005,37.14711884900004 36.19445368000004,37.14748120000007 36.19449320000007,37.148641600000076 36.194562500000075,37.14921390000006 36.194619000000046,37.14997339900009 36.19473620000008,37.150788927000065 36.19477870900005,37.15281444300007 36.19054690300004,37.14948319800004 36.18999962700008,37.14924525200007 36.18957132400004,37.14701905900006 36.18940899800009,37.14693740000007 36.18949400000008,37.14647530000008 36.189645400000074,37.145663100000036 36.18991900000009,37.14474840000008 36.19043110000007,37.14410920000006 36.19090710000006,37.142876200000046 36.19182570000004,37.14244706800008 36.192305496000074,37.14236860900007 36.19318810500005,37.14254573900007 36.19320009300009,37.14239676300008 36.195808416000034,37.14409665800008 36.19583479400006,37.14507129100008 36.195737318000056,37.14554870500007 36.19551954100007,37.14704690000008 36.19536430000005))"
Al Shaba'a Park,Inner,6.25,37.13740735250006,36.19383930320006,"POLYGON((37.139087044000064 36.193008175000045,37.13799873100004 36.19290282700007,37.13695308500007 36.19248123300008,37.13694194200008 36.19244973700006,37.135587145000045 36.19178422300007,37.134944691000044 36.19340225700006,37.13532540500006 36.197899438000036,37.13893476700008 36.19824251000006,37.13921367100005 36.19321445700007,37.139087044000064 36.193008175000045))"
Fardos,Inner,20.5418,37.150059457636424,36.187110683636426,"POLYGON((37.14762211900006 36.18397305600007,37.14768680000009 36.18452110000004,37.148795903000064 36.18953856300004,37.14924525200007 36.18957132400004,37.14948319800004 36.18999962700008,37.15281444300007 36.19054690300004,37.15267053300005 36.189118275000055,37.153127390000066 36.188347330000056,37.15395544200004 36.18464964700007,37.147630835000086 36.18397863900009,37.14762211900006 36.18397305600007))"
Bab Al-Maqam,Inner,28.4742,37.156892901300054,36.188815727800055,"POLYGON((37.16015155900004 36.185320655000055,37.15395544200004 36.18464964700007,37.153127390000066 36.188347330000056,37.15267053300005 36.189118275000055,37.15281444300007 36.19054690300004,37.15657013400005 36.191190765000044,37.15833270600007 36.19149293300006,37.16063696900005 36.19188796800006,37.16051827800004 36.19028214700006,37.16015155900004 36.185320655000055))"
Qalat Al-Sharif,Inner,12.9241,37.15811649478954,36.19423570252638,"POLYGON((37.16073051300009 36.19617842700006,37.15968042500003 36.19488608800009,37.159451997000076 36.19362973300008,37.15898086400006 36.19362973300008,37.15900941700005 36.19298727900008,37.158609668000054 36.19301583200007,37.15833270600007 36.19149293300006,37.15657013400005 36.191190765000044,37.15646815300005 36.19201645800007,37.15589708200008 36.19210211900008,37.15562214100004 36.194300173000045,37.15595711600008 36.19504190300006,37.156411726000044 36.19441980700009,37.157679846000065 36.194288209000035,37.157871260000036 36.195795598000075,37.15823016300004 36.19604682900007,37.15837372300007 36.196668926000086,37.159605954000085 36.196609109000065,37.16073051300009 36.19617842700006))"
Sahel Bizzeh,Inner,11.6945,37.16032486966673,36.1939304658334,"POLYGON((37.16273208400008 36.195243008000034,37.160847551000074 36.193044386000054,37.16063696900005 36.19188796800006,37.15833270600007 36.19149293300006,37.158609668000054 36.19301583200007,37.15900941700005 36.19298727900008,37.15898086400006 36.19362973300008,37.159451997000076 36.19362973300008,37.15968042500003 36.19488608800009,37.16073051300009 36.19617842700006,37.16215415800008 36.19592719500008,37.16273208400008 36.195243008000034))"
Al Aajam,Inner,35.0877,37.16340919811117,36.19665947011118,"POLYGON((37.16483076900005 36.19682772900006,37.16428825200006 36.19455772300006,37.16273208400008 36.195243008000034,37.16215415800008 36.19592719500008,37.16142439100008 36.196597146000045,37.16173543900004 36.19775759600009,37.16347013200004 36.19779348600008,37.165216789000056 36.19840361900009,37.16483076900005 36.19682772900006))"
Al Tunbougha,Inner,17.9487,37.16614333450006,36.19756289216672,"POLYGON((37.16571925200009 36.19997082500004,37.16716682300006 36.19964781300007,37.16808800500007 36.19983922700004,37.16813512600004 36.194785945000035,37.16814297900004 36.19394382200005,37.165273349000074 36.19422935700004,37.16428825200006 36.19455772300006,37.16483076900005 36.19682772900006,37.165216789000056 36.19840361900009,37.165611581000064 36.198918045000084,37.16552783700007 36.19965977600009,37.16571925200009 36.19997082500004))"
Al Asileh,Inner,14.2369,37.16422779733339,36.19253818166673,"POLYGON((37.16814297900004 36.19394382200005,37.16815725500004 36.190702996000084,37.16625844500004 36.191159852000055,37.16424542100009 36.191202683000085,37.161490006000065 36.19026041600006,37.16051827800004 36.19028214700006,37.16063696900005 36.19188796800006,37.160847551000074 36.193044386000054,37.16273208400008 36.195243008000034,37.16428825200006 36.19455772300006,37.165273349000074 36.19422935700004,37.16814297900004 36.19394382200005))"
Ad Dudu,Inner,20.068,37.16932931600006,36.19781683650006,"POLYGON((37.16808800500007 36.19983922700004,37.16933219900005 36.19983922700004,37.170851551000055 36.19987511800008,37.169998958000065 36.19819829800008,37.17058430600008 36.195000303000086,37.16955637800004 36.19515734700008,37.16813512600004 36.194785945000035,37.16808800500007 36.19983922700004))"
Al Ballat,Inner,8.39041,37.17238992984622,36.19755325469237,"POLYGON((37.17421326600004 36.19842754600006,37.173296891000064 36.19598539900005,37.17422488100004 36.19534294500005,37.17356815000005 36.19471476700005,37.172368901000084 36.19502885600008,37.17058430600008 36.195000303000086,37.169998958000065 36.19819829800008,37.170851551000055 36.19987511800008,37.17094725800007 36.20007849500007,37.171509538000066 36.19982726400008,37.172299122000084 36.19860699700007,37.172993000000076 36.198678777000055,37.17421326600004 36.19842754600006))"
Bal Al-Nayrab,Inner,25.7781,37.17435235621628,36.19083052751359,"POLYGON((37.17422488100004 36.19534294500005,37.176746017000085 36.19424268700004,37.176632848000054 36.193235694000066,37.17640922600009 36.190874317000066,37.176394275000064 36.19073678700005,37.17637264100006 36.190600148000044,37.17634437500004 36.19046472600007,37.17630954500004 36.19033084200004,37.17626823300009 36.19019881400004,37.17622053700006 36.19006895500007,37.17616657100007 36.189941575000034,37.176106462000064 36.18981697500004,37.176040354000065 36.18969545200008,37.17596840400006 36.18957729500005,37.17589078200007 36.18946278300007,37.175807673000065 36.18935218900009,37.17571927400007 36.189245776000064,37.17562579600008 36.18914379600005,37.17552745900008 36.189046492000045,37.17542449900009 36.18895409400005,37.17531715900009 36.18886682300007,37.175205695000045 36.188784885000075,37.17509037000008 36.188708476000045,37.17497146000005 36.188637776000064,37.174849246000065 36.18857295400005,37.17472401900005 36.188514163000036,37.17459607700005 36.18846154400006,37.17321662400008 36.18815398400005,37.16812870200005 36.187019590000034,37.16815725500004 36.190702996000084,37.16814297900004 36.19394382200005,37.16813512600004 36.194785945000035,37.16955637800004 36.19515734700008,37.17058430600008 36.195000303000086,37.172368901000084 36.19502885600008,37.17356815000005 36.19471476700005,37.17422488100004 36.19534294500005))"
